,1,3,0,2
model,Random Forest,Tuned Random Forest,Logistic Regression SMOTE,Gradient Boosting
accuracy,0.733542196984531,0.7330330918347366,0.69181515566869,0.8871744664186411
precision,0.24217286593524218,0.24102598446289847,0.22478321678321678,0.6296992481203008
recall,0.6135593220338983,0.61,0.6810169491525424,0.05677966101694915
f1_score,0.34727551803530315,0.34552611367127495,0.3380021030494217,0.10416666666666667
roc_auc,0.7480731136234865,0.7464788651534879,0.7549462857828992,0.7549771709886943
